State,Parlimen,Kod_Dun,Dun,Population
Johor,P.140 Segamat,N.01,Buloh Kasap,32100
Johor,P.140 Segamat,N.02,Jementah,44200
Johor,P.141 Sekijang,N.03,Pemanis,32800
Johor,P.141 Sekijang,N.04,Kemelah,46800
Johor,P.142 Labis,N.05,Tenang,20500
Johor,P.142 Labis,N.06,Bekok,22000
Johor,P.143 Pagoh,N.07,Bukit Kepong,34800
Johor,P.143 Pagoh,N.08,Bukit Pasir,60700
Johor,P.144 Ledang,N.09,Gambir,39200
Johor,P.144 Ledang,N.10,Tangkak,56600
Johor,P.144 Ledang,N.11,Serom,52300
Johor,P.145 Bakri,N.12,Bentayan,35900
Johor,P.145 Bakri,N.13,Simpang Jeram,67100
Johor,P.145 Bakri,N.14,Bukit Naning,32600
Johor,P.146 Muar,N.15,Maharani,60000
Johor,P.146 Muar,N.16,Sungai Balang,40500
Johor,P.147 Parit Sulong,N.17,Semerah,46400
Johor,P.147 Parit Sulong,N.18,Sri Medan,36300
Johor,P.148 Ayer Hitam,N.19,Yong Peng,42200
Johor,P.148 Ayer Hitam,N.20,Semarang,29800
Johor,P.149 Sri Gading,N.21,Parit Yaani,80900
Johor,P.149 Sri Gading,N.22,Parit Raja,94800
Johor,P.150 Batu Pahat,N.23,Penggaram,92500
Johor,P.150 Batu Pahat,N.24,Senggarang,47400
Johor,P.150 Batu Pahat,N.25,Rengit,26600
Johor,P.151 Simpang Renggam,N.26,Machap,47000
Johor,P.151 Simpang Renggam,N.27,Layang-Layang,29600
Johor,P.152 Kluang,N.28,Mengkibol,104500
Johor,P.152 Kluang,N.29,Mahkota,80000
Johor,P.153 Sembrong,N.30,Paloh,32500
Johor,P.153 Sembrong,N.31,Kahang,31300
Johor,P.154 Mersing,N.32,Endau,33400
Johor,P.154 Mersing,N.33,Tenggaroh,45100
Johor,P.155 Tenggara,N.34,Panti,54300
Johor,P.155 Tenggara,N.35,Pasir Raja,40200
Johor,P.156 Kota Tinggi,N.36,Sedili,27600
Johor,P.156 Kota Tinggi,N.37,Johor Lama,30000
Johor,P.157 Pengerang,N.38,Penawar,40700
Johor,P.157 Pengerang,N.39,Tanjung Surat,30400
Johor,P.158 Tebrau,N.40,Tiram,203700
Johor,P.158 Tebrau,N.41,Puteri Wangsa,273100
Johor,P.159 Pasir Gudang,N.42,Johor Jaya,153400
Johor,P.159 Pasir Gudang,N.43,Permas,208400
Johor,P.160 Johor Bahru,N.44,Larkin,99600
Johor,P.160 Johor Bahru,N.45,Stulang,78800
Johor,P.161 Pulai,N.46,Perling,190400
Johor,P.161 Pulai,N.47,Kempas,102500
Johor,P.162 Iskandar Puteri,N.48,Skudai,138300
Johor,P.162 Iskandar Puteri,N.49,Kota Iskandar,310900
Johor,P.163 Kulai,N.50,Bukit Permai,77600
Johor,P.163 Kulai,N.51,Bukit Batu,81900
Johor,P.163 Kulai,N.52,Senai,128800
Johor,P.164 Pontian,N.53,Benut,29100
Johor,P.164 Pontian,N.54,Pulai Sebatang,52900
Johor,P.165 Tanjung Piai,N.55,Pekan Nanas,51900
Johor,P.165 Tanjung Piai,N.56,Kukup,40000
